,index,CustomerID,Recency,Frequency,Monetary,R,F,M,RFM_Score,Segment,Cluster
307,307,3045.0,30,135,120173.0,3,4,3,343,Loyal customers,5
308,308,3029.0,8,282,465064.0,4,4,4,444,Champions,0
309,309,3019.0,3,372,256284.0,4,4,4,444,Champions,0
310,310,3013.0,45,102,80862.0,3,4,2,342,Loyal customers,5
311,311,2997.0,20,72,54448.0,3,3,2,332,Loyal customers,5
312,312,2996.0,155,82,213780.0,1,3,4,134,At risk,1
313,313,2993.0,3,330,385006.0,4,4,4,444,Champions,0
314,314,2989.0,29,88,42015.0,3,3,2,332,Loyal customers,5
315,315,2975.0,38,130,110631.0,3,4,3,343,Loyal customers,5
316,316,2969.0,11,106,111914.0,4,4,3,443,Champions,5
317,317,2968.0,5,662,454411.0,4,4,4,444,Champions,0
318,318,2965.0,34,34,78984.0,3,2,2,322,Potential loyalists,5
319,319,2945.0,30,153,200991.0,3,4,3,343,Loyal customers,5
320,320,2932.0,65,151,368334.0,2,4,4,244,Can't loose them,5
321,321,2924.0,26,162,661576.0,3,4,4,344,Loyal customers,5
322,322,2921.0,269,20,41449.0,1,2,2,122,Hibernating,1
323,323,2919.0,22,118,274070.0,3,4,4,344,Loyal customers,5
324,324,2915.0,7,165,218956.0,4,4,4,444,Champions,5
325,325,2912.0,22,107,205402.0,3,4,3,343,Loyal customers,5
326,326,2908.0,374,65,41179.0,1,3,2,132,At risk,1
327,327,2902.0,10,258,663696.0,4,4,4,444,Champions,0
328,328,2898.0,46,135,670301.0,3,4,4,344,Loyal customers,5
329,329,2886.0,34,51,46405.0,3,3,2,332,Loyal customers,5
330,330,2883.0,25,135,458293.0,3,4,4,344,Loyal customers,5
331,331,2873.0,45,134,133144.0,3,4,3,343,Loyal customers,5
332,332,2871.0,319,137,103734.0,1,4,3,143,Can't loose them,1
333,333,2867.0,268,37,105563.0,1,2,3,123,Hibernating,1
334,334,2865.0,172,44,128257.0,1,3,3,133,At risk,1
335,335,2863.0,20,41,78752.0,3,2,2,322,Potential loyalists,5
336,336,2854.0,59,35,70708.0,2,2,2,222,Hibernating,5
337,337,2848.0,3,134,662754.0,4,4,4,444,Champions,5
338,338,2844.0,32,295,950577.0,3,4,4,344,Loyal customers,0
339,339,2843.0,23,218,553224.0,3,4,4,344,Loyal customers,0
340,340,2832.0,128,23,131800.0,2,2,3,223,Hibernating,5
341,341,2828.0,52,125,264445.0,3,4,4,344,Loyal customers,5
342,342,2822.0,2,474,684115.0,4,4,4,444,Champions,0
343,343,2818.0,9,130,380093.0,4,4,4,444,Champions,5
344,344,2816.0,269,29,222850.0,1,2,4,124,Hibernating,1
345,345,2812.0,135,22,50301.0,2,2,2,222,Hibernating,5
346,346,2810.0,9,224,529608.0,4,4,4,444,Champions,0
347,347,2807.0,250,37,73369.0,1,2,2,122,Hibernating,1
348,348,2805.0,66,35,116800.0,2,2,3,223,Hibernating,5
349,349,2804.0,19,31,78464.0,4,2,2,422,Potential loyalists,5
350,350,2798.0,52,78,431200.0,3,3,4,334,Loyal customers,5
351,351,2796.0,40,40,84640.0,3,2,2,322,Potential loyalists,5
352,352,2795.0,30,117,745905.0,3,4,4,344,Loyal customers,5
353,353,2785.0,10,284,217121.0,4,4,4,444,Champions,0
354,354,2781.0,46,354,170786.0,3,4,3,343,Loyal customers,0
355,355,2773.0,43,57,227112.0,3,3,4,334,Loyal customers,5
356,356,2753.0,289,23,66708.0,1,2,2,122,Hibernating,1
357,357,2751.0,24,33,105656.0,3,2,3,323,Potential loyalists,5
358,358,2750.0,17,102,200773.0,4,4,3,443,Champions,5
359,359,2749.0,366,74,47133.0,1,3,2,132,At risk,1
360,360,2747.0,11,64,161666.0,4,3,3,433,Champions,5
361,361,2744.0,17,121,272342.0,4,4,4,444,Champions,5
362,362,2741.0,146,70,95153.0,1,3,3,133,At risk,5
363,363,2737.0,41,312,145860.0,3,4,3,343,Loyal customers,0
364,364,2735.0,122,83,180043.0,2,3,3,233,At risk,5
365,365,2728.0,88,55,113622.0,2,3,3,233,At risk,5
366,366,2726.0,6,1137,1054784.0,4,4,4,444,Champions,0
367,367,2725.0,93,100,75550.0,2,3,2,232,At risk,5
368,368,2724.0,310,29,44172.0,1,2,2,122,Hibernating,1
369,369,2720.0,30,28,61750.0,3,2,2,322,Potential loyalists,5
370,370,2717.0,261,76,75982.0,1,3,2,132,At risk,1
371,371,2715.0,47,160,465329.0,3,4,4,344,Loyal customers,5
372,372,2712.0,4,235,182493.0,4,4,3,443,Champions,5
373,373,2711.0,4,181,115498.0,4,4,3,443,Champions,5
374,374,2705.0,24,90,116827.0,3,3,3,333,Loyal customers,5
375,375,2701.0,13,218,75929.0,4,4,2,442,Champions,5
376,376,2700.0,30,103,328544.0,3,4,4,344,Loyal customers,5
377,377,2695.0,9,551,376464.0,4,4,4,444,Champions,0
378,378,2680.0,40,176,452258.0,3,4,4,344,Loyal customers,5
379,379,2676.0,3,20,72178.0,4,2,2,422,Potential loyalists,5
380,380,2663.0,83,29,217510.0,2,2,4,224,Hibernating,5
381,381,2658.0,93,76,849474.0,2,3,4,234,At risk,5
382,382,2650.0,373,21,21015.0,1,2,1,121,Hibernating,1
383,383,2646.0,20,143,90570.0,3,4,3,343,Loyal customers,5
384,384,2645.0,192,40,40332.0,1,2,2,122,Hibernating,1
385,385,2643.0,17,155,193107.0,4,4,3,443,Champions,5
386,386,2641.0,1,267,173554.0,4,4,3,443,Champions,0
387,387,2639.0,4,248,121689.0,4,4,3,443,Champions,5
388,388,2638.0,20,150,183475.0,3,4,3,343,Loyal customers,5
389,389,2634.0,24,51,46465.0,3,3,2,332,Loyal customers,5
390,390,2632.0,2,86,168364.0,4,3,3,433,Champions,5
391,391,2621.0,313,29,61939.0,1,2,2,122,Hibernating,1
392,392,2620.0,370,105,46595.0,1,4,2,142,Can't loose them,1
393,393,2614.0,6,459,483376.0,4,4,4,444,Champions,0
394,394,2612.0,41,40,104608.0,3,2,3,323,Potential loyalists,5
395,395,2609.0,9,147,111079.0,4,4,3,443,Champions,5
396,396,2608.0,13,546,446593.0,4,4,4,444,Champions,0
397,397,2607.0,41,141,121247.0,3,4,3,343,Loyal customers,5
398,398,2606.0,16,191,202556.0,4,4,3,443,Champions,5
399,399,2604.0,5,644,2163929.0,4,4,4,444,Champions,0
400,400,2602.0,5,140,354165.0,4,4,4,444,Champions,5
401,401,2599.0,20,97,39319.0,3,3,2,332,Loyal customers,5
402,402,2593.0,59,27,56355.0,2,2,2,222,Hibernating,5
403,403,2590.0,65,24,47824.0,2,2,2,222,Hibernating,5
404,404,2587.0,71,272,274287.0,2,4,4,244,Can't loose them,5
405,405,2586.0,255,54,106292.0,1,3,3,133,At risk,1
406,406,2584.0,38,39,75793.0,3,2,2,322,Potential loyalists,5
407,407,2570.0,23,133,270330.0,3,4,4,344,Loyal customers,5
408,408,2567.0,307,208,437806.0,1,4,4,144,Can't loose them,1
409,409,2564.0,24,301,724393.0,3,4,4,344,Loyal customers,0
410,410,2559.0,108,119,87156.0,2,4,3,243,Can't loose them,5
411,411,2556.0,2,132,315048.0,4,4,4,444,Champions,5
412,412,2550.0,27,206,123233.0,3,4,3,343,Loyal customers,5
